id;gene;rf60;rf90;rf150;rf250;mcmc
1;TFRC;0.0;0.0
2;SCT;0.0;0.0
3;HTR4;0.0;0.0
4;CRHBP;0.0;0.0
5;HTR6;0.0;0.0
6;CAPNS1;0.4;0.0
7;SCP2;0.0;0.0
8;PRKACA;0.3;0.0
9;PRKACB;0.0;0.0
10;PRKAB2;0.0;0.0
11;UNC5B;0.0;0.0
12;SECISBP2;0.0;0.0
13;ZNF10;0.0;0.0
14;UNC5C;0.0;0.0
15;PRKAB1;0.0;0.0
16;BCR;0.0;0.9
17;SIGIRR;0.0;0.0
18;TFR2;0.0;0.0
19;DDIT3;0.0;0.0
20;DDIT4;0.0;0.0
21;AGTR1;0.1;0.0
22;ORAI2;0.0;0.0
23;AGTR2;0.0;0.0
24;SF1;0.0;0.0
25;SET;0.0;0.0
26;COL13A1;0.0;0.0
27;SHMT2;0.0;0.0
28;SHMT1;0.0;0.0
29;ZNF24;0.1;0.1
30;LARP1;0.0;0.2
31;ADAMTS13;0.0;0.0
32;SFN;0.5;0.5
33;HCRT;0.0;0.0
34;GSTM4;0.0;0.0
35;GSTM3;0.0;0.0
36;GSTM2;0.0;0.0
37;GSTM1;0.1;0.0
38;NEBL;0.0;0.0
39;L1CAM;0.2;0.3
40;DHFR;0.0;0.0
41;PPFIBP1;0.0;0.0
42;PPFIBP2;0.0;0.8
43;FXYD3;0.0;0.0
44;PKIA;0.1;0.0
45;FXYD2;0.0;0.0
46;FXYD1;0.0;0.3
47;FXYD7;0.0;0.1
48;STRN;0.0;0.0
49;FXYD6;0.0;0.0
50;PKIG;0.0;0.0
51;DZIP3;0.0;0.0
52;KCNC1;0.0;0.0
53;PRKAG1;0.0;0.0
54;PRKAG2;0.0;0.0
55;SHB;0.0;0.0
56;MMP20;0.0;0.0
57;MMP25;0.0;0.0
58;SHH;0.0;0.0
59;MMP24;0.0;0.0
60;MMP26;0.0;0.0
61;ZNF41;0.0;0.0
62;NEFL;0.0;0.0
63;NEFM;0.0;0.0
64;NEFH;0.0;0.0
65;MYBPC3;0.0;0.0
66;APC2;0.0;0.0
67;MYBPC1;0.0;0.0
68;KCND1;0.0;0.0
69;KCND2;0.0;0.0
70;KCND3;0.0;0.0
71;GSTO1;0.0;0.1
72;BGN;0.0;0.0
73;MMP10;0.0;0.0
74;MMP12;0.0;0.0
75;MMP11;0.0;0.0
76;MMP14;0.3;0.1
77;MMP13;0.0;0.0
78;MMP16;0.0;0.0
79;MMP15;0.0;0.0
80;PTRH2;0.0;0.0
81;MMP17;0.0;0.0
82;RAPGEF1;0.0;0.0
83;RAPGEF2;0.0;0.0
84;MMP19;0.0;0.0
85;RAPGEF5;0.0;0.0
86;CRYAA;0.0;0.0
87;CRYAB;0.3;0.0
88;RAPGEF6;0.0;0.0
89;RAPGEF3;0.0;0.0
90;RAPGEF4;0.0;0.0
91;APCS;0.0;0.0
92;GSTP1;0.0;0.0
93;KCNA1;0.0;0.0
94;KCNA2;0.0;0.0
95;PTAFR;0.0;0.0
96;KCNA3;0.0;0.0
97;ADAM22;0.0;0.0
98;KCNA4;0.0;0.0
99;KCNA5;0.0;0.0
100;ADAM28;0.0;0.0
101;PLAGL1;0.0;0.4
102;ADAM23;0.0;0.0
103;STX6;0.0;0.0
104;STX5;0.0;0.0
105;PLAGL2;0.0;0.0
106;STX4;0.0;0.0
107;STX3;0.1;0.4
108;STX2;0.0;0.0
109;BID;0.0;0.0
110;SPDEF;0.0;0.0
111;MBD3;0.0;0.0
112;EGLN1;0.0;0.0
113;MBD4;0.0;0.0
114;EGLN3;0.0;0.0
115;PKLR;0.0;0.0
116;KCNB1;0.0;0.0
117;BIK;0.0;0.0
118;MBD1;0.1;0.0
119;MCRS1;0.0;0.0
120;KCNB2;0.0;0.0
121;MBD2;0.0;0.0
122;SCTR;0.0;0.0
123;BMP8B;0.0;0.0
124;ZNF76;0.0;0.0
125;BBOX1;0.0;0.0
126;TARBP2;0.0;0.0
127;ARCN1;0.0;0.0
128;SKI;0.0;0.0
129;ZNF74;0.0;0.0
130;ADAM3B;0.0;0.0
131;PKN2;0.0;0.0
132;PKN1;0.0;0.0
133;KCNG1;0.0;0.0
134;KCNG2;0.0;0.0
135;MTCH1;0.0;0.0
136;MTCH2;0.0;0.0
137;RASL11B;0.0;0.0
138;PDCD6;0.0;0.0
139;PDCD5;0.0;0.0
140;FBXO28;0.0;0.0
141;SLA;0.0;0.0
142;MSI1;0.0;0.0
143;IL1RAP;0.0;0.0
144;APEH;0.0;0.0
145;SLK;0.0;0.0
146;SLN;0.0;0.0
147;FNTA;0.0;0.0
148;POFUT1;0.0;0.0
149;NEK1;0.0;0.0
150;TNFRSF8;0.0;0.0
151;NEK2;0.0;0.0
152;MAP3K8;0.0;0.0
153;NEK3;0.0;0.0
154;MAP3K6;0.0;0.0
155;TNFRSF4;0.1;0.0
156;MAP3K7;0.0;0.0
157;MAP3K4;0.1;0.0
158;MAP3K5;0.1;0.0
159;KCNH1;0.0;0.0
160;PIAS4;0.0;0.1
161;KCNH2;0.0;0.0
162;FBXW4;0.0;0.0
