id,REL,TM9SF4,CA2,TGFA,PSIP1,WDR41,KLHDC8A,GUCA1B,SLC25A46,SETX,SLC38A3,RPL6,HLA-DPA1,MTHFD1,METTL22,COLQ,CDO1,PRR7,PAGR1,DCTN2,TAGLN,NR2C1,ZNF276,ECHDC3,ADAR,MCM5,CPPED1,CMC4,OR7A5,P2RY2,CFLAR,ADAM3A,LUZP1,JAM3,YWHAZ,PDE9A,MMP27,TPCN1,PLSCR4,CEACAM21,OR51E2,ERP44,CCDC33,FGGY,ASIC1,CAND2,ZNF771,SYNM,RCVRN,UBAP2,OPCML,NOTCH2,EPB41L4A,KXD1,PGF,ZCCHC4,PBX1,PRAME,HLA-DRA,RPL8,CD84,ATG13,IL5,SPTLC2,NRDC,CELSR3,ERGIC2,SGCG,CABP5,PRG3,KCNAB1,PSD4,SNTA1,GPR137,AGPAT5,SERPING1,OBP2A,HNRNPD,TOB2,SCIN,STIL,CKB,GRINA,HTR1D,P4HTM,MYBL1,CHUK,METTL5,SLC25A36,TMEM30B,SEMA4F,PDCD6,PPP2R5A,ARHGEF15,PTPN13,ADM2,CYP7B1,ACTN4,CHODL,CEP350,verdict
1,97.7,1338.8,4559.2,339.5,979.0,444.5,143.9,53.9,795.7,760.4,132.4,15126.3,2995.6,921.0,445.9,92.3,237.9,182.2,304.9,2127.0,839.1,294.5,423.0,846.3,4625.1,624.0,97.0,883.4,21.6,36.1,1003.3,69.6,327.7,1336.6,11261.5,33.7,166.0,1043.3,948.1,192.9,21.8,1463.8,111.0,259.2,426.5,197.7,351.0,3077.1,40.5,1178.9,248.2,2300.2,43.9,1435.3,811.9,192.3,800.9,207.9,4420.5,26705.6,207.2,1199.5,26.0,599.5,3666.0,81.4,1173.8,73.8,38.5,138.6,36.7,225.0,411.6,570.1,524.0,2536.4,20.6,3282.0,336.5,121.2,150.4,1146.5,1181.4,9.6,1002.0,9.1,163.8,1691.6,1961.9,365.5,370.9,1487.9,1047.0,374.6,399.3,218.4,181.1,4259.7,204.2,813.8,1
2,56.2,1683.0,2648.2,267.6,837.8,537.1,102.5,26.9,888.9,654.5,168.3,17042.4,2774.8,1038.2,353.6,29.1,187.2,116.0,560.0,3100.9,327.0,284.4,290.2,726.9,4150.8,671.0,120.4,989.5,23.3,58.5,731.7,75.1,328.8,1524.9,13018.0,25.9,101.9,1289.5,825.6,177.7,32.2,1602.4,96.6,260.5,182.1,168.6,162.8,2194.1,33.4,947.2,229.9,1946.2,23.1,1470.6,617.6,227.9,678.1,205.2,3605.3,34407.9,320.2,751.8,44.3,499.2,2141.1,162.3,1408.5,42.0,32.3,15.5,156.3,312.2,476.2,333.1,477.2,1796.6,17.9,3260.4,435.7,68.5,119.8,1291.6,1342.1,21.8,910.5,6.0,161.5,1467.6,2350.6,372.2,378.1,1603.7,1095.2,348.5,502.1,154.1,44.9,3803.4,73.4,655.5,1
3,118.3,778.3,290.6,363.2,567.7,207.7,105.4,170.6,498.2,736.5,139.2,12488.9,15101.1,1171.6,798.1,119.7,1381.0,74.1,218.6,1576.7,16221.6,254.2,127.9,1286.0,3817.9,1073.1,68.7,886.0,40.5,12.7,1699.8,38.3,293.9,1520.7,4823.7,211.6,195.6,960.8,868.3,262.3,19.3,2166.3,90.9,141.0,72.4,281.1,466.6,3295.9,49.6,1012.4,236.4,1420.9,242.3,1491.2,892.8,156.2,1716.3,147.6,16459.6,21965.6,991.7,1131.9,79.8,1237.9,1099.0,238.5,1035.6,23.3,73.8,108.6,56.3,495.1,484.6,321.7,409.1,6402.9,18.5,3492.5,218.9,92.3,258.4,1066.1,921.1,29.8,1020.3,158.3,163.8,1534.6,1667.5,253.5,319.4,1095.7,910.1,392.2,68.5,180.6,149.4,4002.6,37.3,590.2,1
4,131.2,1203.8,3472.4,488.0,750.3,454.8,98.4,109.7,915.6,664.8,177.4,17028.7,5715.0,720.5,337.6,16.7,300.2,209.9,406.4,1771.0,2256.6,250.8,161.6,887.0,2871.5,538.6,84.4,787.3,22.9,91.8,1229.9,57.1,387.7,1100.3,11314.5,37.2,603.3,1019.6,941.9,150.2,20.6,1818.9,18.7,482.8,108.9,147.1,414.7,533.5,176.3,856.4,62.2,2453.6,304.4,1196.6,1021.2,184.1,1706.4,162.1,9160.2,33367.4,379.3,977.4,41.8,632.8,2226.8,179.3,1203.3,526.2,41.9,103.6,115.0,514.2,429.5,471.8,353.7,2362.7,28.1,2704.1,383.8,123.4,219.0,1219.1,999.2,11.2,1194.1,62.8,107.7,1753.2,1954.2,685.6,226.0,1542.0,919.6,398.3,559.3,324.2,107.9,4194.5,138.2,778.5,1
5,186.4,1224.3,2403.1,323.5,1361.9,473.9,159.3,46.3,744.6,926.2,67.6,15509.0,2548.7,1168.6,344.8,13.7,218.9,114.8,422.9,2563.2,253.3,182.8,198.3,741.1,3357.0,529.3,183.7,1106.7,35.9,72.2,943.3,106.0,421.0,1288.8,9935.2,28.3,195.6,1384.9,940.0,217.1,22.4,1301.3,153.5,382.6,126.6,219.6,353.7,2589.5,43.5,1197.8,347.2,2850.5,65.4,1327.3,698.5,311.2,835.2,143.8,3874.8,36191.6,345.9,1031.3,50.1,647.5,2691.4,254.0,1126.8,16.0,46.8,180.6,107.5,188.5,416.8,495.6,498.5,2364.6,30.8,3104.5,317.6,32.3,188.0,587.2,1335.7,12.0,650.9,23.5,158.4,1369.5,2604.9,430.2,392.8,1640.0,1092.4,554.8,684.2,233.1,105.5,3043.0,81.8,656.7,1
6,93.0,1060.7,292.8,296.7,921.6,608.7,151.8,163.0,649.4,657.1,79.3,26328.1,5220.2,882.3,224.8,21.7,238.1,201.3,436.7,3229.3,179.6,202.3,320.1,1075.5,3423.8,1319.8,55.0,1041.4,28.5,282.6,1032.2,146.3,537.2,713.3,12624.8,44.5,164.3,1040.2,536.2,50.7,50.5,1447.7,82.0,397.8,48.6,244.4,206.0,640.5,18.5,959.5,301.6,2060.9,73.6,1263.9,1296.3,265.7,1729.3,439.8,5640.8,48716.0,251.1,780.1,28.4,771.9,3576.1,328.9,1109.7,85.2,44.0,78.5,166.1,338.1,515.0,461.7,438.4,996.9,27.1,4376.6,343.0,140.2,133.3,734.5,970.5,12.9,994.1,25.9,118.8,1717.9,1610.8,458.0,251.3,1102.7,1166.3,458.7,340.8,149.0,113.8,6259.1,285.4,843.4,1
7,56.1,814.8,696.0,257.1,1005.7,283.5,196.3,79.7,632.1,811.6,33.7,18759.5,8531.3,1066.8,402.7,38.7,181.0,248.1,413.4,3108.2,404.5,142.6,149.9,884.5,5409.0,962.3,107.3,964.2,29.4,19.4,761.8,49.3,462.4,1554.1,8766.3,49.8,180.0,1438.2,725.3,69.8,46.4,1214.3,94.4,122.9,454.2,322.6,400.1,1002.2,117.6,1127.6,197.8,2379.0,75.5,1429.5,1258.2,134.3,1084.6,222.0,13578.0,36414.2,526.9,1220.0,81.5,528.8,2236.9,207.6,830.6,23.4,113.8,150.0,42.0,334.8,602.6,307.9,469.0,3791.0,185.5,3887.0,409.1,83.5,131.9,391.5,1064.2,12.8,974.5,66.7,119.8,1040.1,2143.2,244.9,435.4,1239.6,994.1,449.7,379.5,62.2,100.6,5908.8,68.7,628.7,1
8,51.0,897.7,2308.0,334.8,768.2,488.3,146.6,129.7,725.5,641.3,139.9,13477.8,14161.5,1005.3,361.3,85.8,240.2,214.3,542.7,2348.1,1032.2,257.1,168.4,789.1,5793.2,1203.9,38.8,890.7,18.0,115.4,1495.5,55.2,542.9,831.5,10516.2,33.7,283.3,854.9,592.7,181.7,19.3,1821.3,113.1,156.9,112.8,197.2,302.1,383.1,129.5,851.0,167.9,2192.5,121.7,1140.8,1254.7,256.3,1718.1,139.3,24183.7,20945.9,802.9,937.4,98.0,633.4,2954.7,266.0,1035.2,18.5,27.8,127.1,130.7,704.2,424.9,309.9,289.3,3732.9,21.9,3859.3,526.6,230.1,194.1,1377.2,933.1,11.6,1227.2,148.4,161.4,1427.2,1885.4,549.2,256.5,1032.2,846.7,419.7,384.5,298.1,182.6,4722.7,112.3,1118.0,1
9,134.5,1654.8,1819.5,304.2,1521.6,389.8,100.3,39.0,757.9,644.0,104.0,15303.8,2884.9,1092.0,461.8,34.0,278.7,100.9,363.6,2428.6,320.8,269.7,241.3,726.5,3124.3,521.9,105.3,1030.2,25.1,23.4,764.7,18.1,408.0,1586.7,8530.6,30.9,160.1,1513.9,1316.3,253.0,94.2,1059.1,144.2,390.8,269.9,199.4,328.2,3170.2,36.5,926.6,292.8,3138.4,36.1,1338.7,585.0,312.4,1037.8,216.8,2752.7,30860.5,316.3,1431.0,40.9,500.4,2020.2,244.2,1154.7,27.8,34.5,97.8,112.2,246.8,551.6,348.0,495.8,3219.7,30.3,3445.0,447.1,37.3,170.8,734.7,1443.3,7.2,843.3,59.7,172.1,1471.8,2308.9,347.1,341.3,1311.3,981.8,357.5,356.9,224.3,164.0,3217.1,55.9,746.3,1
10,124.2,1132.8,173.5,166.0,1419.7,287.4,110.9,152.0,594.3,846.3,136.7,23076.5,5058.3,1134.2,302.7,70.6,555.6,77.3,622.9,3281.9,1134.2,264.4,159.9,732.5,3463.0,1085.4,137.3,1263.1,12.5,26.6,1188.0,65.1,635.8,1348.7,8777.3,38.2,160.9,1237.8,788.3,109.5,27.8,1486.8,42.7,301.6,288.5,343.7,248.3,1550.1,40.3,1609.2,60.2,2880.0,89.4,1698.4,1262.1,172.5,1508.5,127.9,2477.1,43726.7,290.0,1424.4,63.2,464.2,2150.3,213.9,1050.7,16.9,25.2,89.2,152.5,240.8,363.6,394.9,350.6,2534.9,23.1,4044.4,474.6,77.9,169.5,921.0,667.6,8.4,801.2,15.1,128.4,1366.0,1988.2,249.3,506.4,1228.2,1067.7,235.6,272.1,193.3,155.1,4751.1,109.5,1085.4,1
