Gene id;Gene name;Small pval;Small mcmc;Big pval;Big mcmc
220116_at;KCNN2;0.0012022143172729;35.714285714285715;1.41894386053119E-9;100.0
221442_at;MC3R;;;;
201271_s_at;RALY;4.42598359089841E-6;83.33333333333333;1.71601484204422E-9;
217799_x_at;UBE2H;0.00215024196388598;;6.0927331106934E-8;
206059_at;ZNF91;;;0.00631600281941857;
209566_at;INSIG2;0.0023238328546994;;1.77697996855357E-5;
218705_s_at;SNX24;0.0146351506765351;;;
209324_s_at;RGS16;;500.0;;
218284_at;SMAD3;;100.0;0.00552633512305292;29.41176470588235
207373_at;HOXD10;;;;
212724_at;RND3;4.66606974342287E-4;500.0;7.4450125589658E-9;
206288_at;PGGT1B;;;;
209313_at;GPN1;;;;
202935_s_at;SOX9;;125.0;;
220964_s_at;RAB1B;;250.0;;
208241_at;NRG1;;;;
201849_at;BNIP3;;71.42857142857143;7.50799645075239E-6;
210326_at;AGXT;;;;
206035_at;REL;;;;
200728_at;ACTR2;;;;
396_f_at;EPOR;;500.0;;500.0
202934_at;HK2;;;;
212736_at;C16orf45;0.00158789592880025;125.0;9.89137816597356E-6;
221454_at;BOK;;;;
208415_x_at;ING1;;100.0;;
209108_at;TSPAN6;;;2.96785545927958E-8;500.0
219152_at;PODXL2;0.00188178233683627;;1.76624572083999E-8;
209259_s_at;SMC3;;;;
206264_at;GPLD1;;;0.0046755073532353;
206023_at;NMU;;;;
213604_at;TCEB3;;;4.85927584944099E-4;
212568_s_at;DLAT;;;;
210518_at;CDH8;;;;
212761_at;TCF7L2;;45.45454545454546;2.12866204716242E-6;62.5
201850_at;CAPG;;;;
202705_at;CCNB2;8.51902387824781E-4;6.25;8.2008841016096E-8;250.0
206072_at;UCN;;;0.00257649978151298;
220526_s_at;MRPL20;;;;
208296_x_at;TNFAIP8;9.93212233953243E-4;;1.66815594568173E-5;
207589_at;ADRA1B;;;;
208174_x_at;ZRSR2;;;;
208457_at;GABRD;;500.0;;
220550_at;FBXO4;;;;
209301_at;CA2;0.00307068723866719;45.45454545454546;6.99596103365555E-7;500.0
207336_at;SOX5;;500.0;;
210774_s_at;NCOA4;8.80891577100739E-6;1.6611295681063123;8.64959354502927E-15;1.0060362173038229
212748_at;MKL1;;500.0;0.00130932425537611;
211508_s_at;GH2;;;0.00132133252073993;
202909_at;EPM2AIP1;0.00555206496317961;;4.50713646841555E-10;
205998_x_at;CYP3A4;;;;
219952_s_at;MCOLN1;;;0.00110266459539837;
